Epoch,Loss,MRR,Hit@1,Hit@5,Hit@10,Hit@30,Hit@50,Hit@100
236,17.4190,0.5327,0.3933,0.7338,0.8085,0.8457,0.8498,0.8532
237,17.4164,0.5322,0.3921,0.7336,0.8085,0.8460,0.8490,0.8538
238,17.4139,0.5330,0.3937,0.7328,0.8089,0.8460,0.8502,0.8540
239,17.4113,0.5330,0.3943,0.7346,0.8085,0.8458,0.8494,0.8538
240,17.4088,0.5319,0.3925,0.7334,0.8085,0.8457,0.8490,0.8545
241,17.4063,0.5323,0.3933,0.7322,0.8081,0.8453,0.8488,0.8532
242,17.4038,0.5328,0.3939,0.7324,0.8073,0.8457,0.8490,0.8524
243,17.4012,0.5343,0.3957,0.7336,0.8083,0.8462,0.8492,0.8534
244,17.3988,0.5335,0.3947,0.7328,0.8085,0.8464,0.8506,0.8536
245,17.3963,0.5327,0.3935,0.7332,0.8075,0.8462,0.8494,0.8534
246,17.3938,0.5333,0.3941,0.7328,0.8083,0.8470,0.8506,0.8534
247,17.3914,0.5351,0.3962,0.7340,0.8089,0.8462,0.8492,0.8536
248,17.3889,0.5328,0.3933,0.7332,0.8091,0.8466,0.8496,0.8534
249,17.3865,0.5326,0.3935,0.7340,0.8087,0.8462,0.8502,0.8532
