Epoch,Loss,MRR,Hit@1,Hit@5,Hit@10,Hit@30,Hit@50,Hit@100
224,17.5489,0.2209,0.1218,0.3140,0.4179,0.5721,0.6380,0.7039
225,17.5443,0.2167,0.1173,0.3106,0.4168,0.5709,0.6358,0.7028
226,17.5398,0.2176,0.1184,0.3117,0.4168,0.5721,0.6358,0.7006
227,17.5354,0.2177,0.1184,0.3084,0.4156,0.5698,0.6324,0.6961
228,17.5308,0.2186,0.1229,0.3084,0.4123,0.5676,0.6302,0.6927
229,17.5263,0.2145,0.1173,0.3050,0.4134,0.5665,0.6279,0.6905
230,17.5220,0.2157,0.1184,0.3039,0.4067,0.5642,0.6268,0.6894
231,17.5178,0.2132,0.1162,0.3006,0.4045,0.5609,0.6223,0.6872
232,17.5134,0.2106,0.1140,0.2994,0.4067,0.5553,0.6212,0.6838
233,17.5092,0.2130,0.1173,0.3039,0.4056,0.5542,0.6190,0.6804
234,17.5052,0.2089,0.1095,0.3017,0.4022,0.5520,0.6168,0.6793
235,17.5010,0.2098,0.1117,0.2983,0.4022,0.5508,0.6168,0.6782
236,17.4969,0.2100,0.1117,0.2972,0.3978,0.5508,0.6156,0.6760
237,17.4931,0.2096,0.1117,0.3006,0.3989,0.5508,0.6156,0.6771
238,17.4890,0.2088,0.1106,0.3017,0.3944,0.5508,0.6156,0.6715
239,17.4851,0.2103,0.1117,0.2994,0.3922,0.5497,0.6101,0.6693
240,17.4812,0.2088,0.1128,0.3006,0.3933,0.5497,0.6078,0.6693
241,17.4775,0.2074,0.1106,0.2961,0.3966,0.5475,0.6056,0.6670
242,17.4738,0.2071,0.1106,0.2950,0.3944,0.5453,0.6034,0.6659
243,17.4700,0.2060,0.1095,0.2927,0.3888,0.5453,0.6022,0.6648
244,17.4663,0.2086,0.1140,0.2927,0.3922,0.5419,0.6011,0.6626
245,17.4626,0.2085,0.1128,0.2983,0.3911,0.5408,0.6011,0.6626
246,17.4591,0.2072,0.1128,0.2939,0.3922,0.5408,0.5978,0.6626
247,17.4554,0.2032,0.1084,0.2872,0.3877,0.5352,0.5944,0.6615
248,17.4521,0.2070,0.1128,0.2916,0.3855,0.5341,0.5944,0.6592
249,17.4484,0.2080,0.1151,0.2894,0.3832,0.5318,0.5911,0.6592
